# ratio: shape=(54, 42)
# Metadata cols: ['item', 'item_en', 'item_id', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']
# Quarter cols (31): ['2018-Q2', '2018-Q3', '2018-Q4', '2019-Q1', '2019-Q2', '2019-Q3', '2019-Q4', '2020-Q1', '2020-Q2', '2020-Q3', '2020-Q4', '2021-Q1', '2021-Q3', '2021-Q4', '2022-Q1', '2022-Q2', '2022-Q3', '2022-Q4', '2023-Q1', '2023-Q2', '2023-Q3', '2023-Q4', '2024-Q1', '2024-Q2', '2024-Q3', '2024-Q4', '2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4', '2026-Q1']

idx	item_id	item_en	item
0	year	0	Năm
1	quarter	0	Quý
2	ratioTTMId	Ratio TTM Id	Mã TTM
3	ratioType	Ratio Type	Loại tỷ lệ
4	outstanding_shares	Outstanding Shares (mil)	Số CP lưu hành (triệu)
5	market_cap	Market Cap	Vốn hóa
6	dividend_yield	Dividend Yield (%)	Tỷ suất cổ tức (%)
7	pe_ratio	P/E	P/E
8	pb_ratio	P/B	P/B
9	ps_ratio	P/S	P/S
10	price_to_cash_flow	Price/Cash Flow	Giá/ Dòng tiền
11	ev_to_ebitda	EV/EBITDA	EV/EBITDA
12	cash_ratio	Cash Ratio	Hệ số thanh toán tiền
13	quick_ratio	Quick Ratio	Hệ số thanh toán nhanh
14	current_ratio	Current Ratio	Hệ số thanh toán hiện hành
15	owners_equity	Owners Equity	Vốn chủ sở hữu
16	debtPerEquity	Debt/Equity	Nợ/Vốn chủ
17	debt_to_equity	Debt to Equity	Nợ trên vốn chủ
18	roe	ROE (%)	ROE (%)
19	roa	ROA (%)	ROA (%)
20	days_sales_outstanding	Days Sales Outstanding	Số ngày phải thu
21	days_inventory_outstanding	Days Inventory Outstanding	Số ngày tồn kho
22	days_payable_outstanding	Days Payable Outstanding	Số ngày phải trả
23	gross_margin	Gross Margin (%)	Biên LN gộp (%)
24	ebit_margin	EBIT Margin (%)	Biên EBIT (%)
25	pre_tax_profit_margin	Pre-tax Profit Margin (%)	Biên LN trước thuế (%)
26	net_margin	After-tax Profit Margin (%)	Biên LN sau thuế (%)
27	asset_turnover	Asset Turnover	Vòng quay tài sản
28	net_interest_margin	Net Interest Margin	Biên lãi thuần
29	avg_yield_on_earning_assets	Avg Yield on Earning Assets	Lãi suất bình quân tài sản sinh lãi
30	avg_cost_of_financing	Avg Cost of Financing	Chi phí vốn bình quân
31	non_interest_income	Non-interest Income	Thu nhập ngoài lãi
32	cost_to_income_ratio	Cost/Income Ratio	Tỷ lệ CIR
33	loans_growth	Loans Growth (%)	Tăng trưởng cho vay (%)
34	deposit_growth	Deposit Growth (%)	Tăng trưởng tiền gửi (%)
35	equity_to_liabilities	Equity/Total Liabilities	Vốn chủ/Tổng nợ
36	equity_to_loans	Equity/Loans	Vốn chủ/Cho vay
37	equity_to_assets	Equity/Total Assets	Vốn chủ/Tổng tài sản
38	ldr	LDR (%)	LDR (%)
39	npl	NPL (%)	Nợ xấu (%)
40	loan_loss_reserves_to_npls	Loan Loss Reserves/NPLs	DP rủi ro/Nợ xấu
41	loan_loss_reserve_to_loans	Loan Loss Reserve/Loans	DP rủi ro/Cho vay
42	provision_to_outstanding_loans	Provision/Outstanding Loans	Trích lập DP/Cho vay
43	ebit	EBIT	EBIT
44	ebitda	EBITDA	EBITDA
45	roic	ROIC	ROIC
46	cash_cycle	Cash Cycle	Chu kỳ tiền
47	fixed_asset_turnover	Fixed Asset Turnover	Vòng quay TS cố định
48	financial_leverage	Financial Leverage	Đòn bẩy tài chính
49	cir	CIR	CIR
50	car	CAR	CAR
51	equity	Equity	Vốn chủ sở hữu
52	casa_ratio	CASA Ratio	Tỷ lệ CASA
53	ratioYearId	Ratio Year Id	Mã năm tỷ lệ
