,layer,signal_score,drop_collinear,drop_weak,in_eda
cpi_yoy,L3,0.6853,False,False,True
total_assets_yoy,L4,0.6358,False,False,True
macd_norm,L2,0.4323,False,False,True
momentum_3_12,L2,0.3921,False,False,True
pe_ratio,L4,0.3645,False,False,True
nim,L4,0.3127,False,False,True
gdp_yoy,L3,0.3091,False,False,True
credit_yoy,L4,0.3071,False,False,True
ma5_20,L2,0.2789,False,False,True
r20,L1,0.2716,True,False,False
rsi_14,L2,0.2707,False,False,True
r10,L1,0.267,True,False,False
r5,L1,0.2494,False,False,True
bb_position,L2,0.2469,True,False,False
equity_to_assets,L4,0.2367,False,False,True
vnindex_ret,L3,0.2333,False,True,False
r1,L1,0.2296,False,True,False
npl_ratio,L4,0.202,False,True,False
fx_logchg,L3,0.1652,False,True,False
trb,L2,0.0915,False,True,False
